"","X.1","X","filename","time","species","spatial_angle","tracker_id","tracker_length","detection_depth","detection_length","spatial_dist","spatial_speed","site","tide","tide_type","camera_location","spatial_angle_simple","sinuosity","distance_to_pipe"
"4222",-0.122969975597948,-0.099253857223158,"C4_20210125_091206_C_Twin-20.mp4",-0.149887882415839,"Moses Perch",1.15499193743433,"C4_20210125_091206_C_Twin-20.mp4_844",0.385308731573886,0.0221074153062061,-1.2929237055604,0.540466459399076,0.571068379630652,"TWIN",0.196400980041479,"high","middle","LEFT",-0.679315400858554,0.0669813670765832
"4223",-0.122844990618285,-0.0992338690391592,"C4_20210125_091206_C_Twin-20.mp4",-0.149880264731228,"Moses Perch",1.19935874470904,"C4_20210125_091206_C_Twin-20.mp4_844",0.385308731573886,-0.0188053329183028,-1.34269871615121,0.597969504397839,0.630122749944076,"TWIN",0.196400980041479,"high","middle","LEFT",-0.679315400858554,0.0669813670765832
"4224",-0.122720005638622,-0.0992138808551603,"C4_20210125_091206_C_Twin-20.mp4",-0.149872760743404,"Moses Perch",1.25721857507751,"C4_20210125_091206_C_Twin-20.mp4_844",0.385308731573886,-0.0993910491180927,-1.37663622337221,0.833704982907015,0.898036858771412,"TWIN",0.196400980041479,"high","middle","LEFT",-0.679315400858554,0.0669813670765832
"4225",-0.122595020658959,-0.0991938926711615,"C4_20210125_091206_C_Twin-20.mp4",-0.149865143058792,"Moses Perch",1.30690688604725,"C4_20210125_091206_C_Twin-20.mp4_844",0.385308731573886,-0.122120353687264,-1.39398206039628,0.329054668064253,0.353953090964073,"TWIN",0.196400980041479,"high","middle","LEFT",-0.679315400858554,0.0669813670765832
"4226",-0.122470035679296,-0.0991739044871626,"C4_20210125_091206_C_Twin-20.mp4",-0.149857525374187,"Moses Perch",1.34785781679067,"C4_20210125_091206_C_Twin-20.mp4_844",0.385308731573886,-0.172124823739442,-1.43282165199365,0.473673812653784,0.502473791375439,"TWIN",0.196400980041479,"high","middle","LEFT",-0.679315400858554,0.0669813670765832
"4227",-0.122345050699633,-0.0991539163031638,"C4_20210125_091206_C_Twin-20.mp4",-0.149849907689575,"Moses Perch",1.3826710457782,"C4_20210125_091206_C_Twin-20.mp4_844",0.385308731573886,-0.200639769471675,-1.45620082363479,0.245625180249449,0.26827283057818,"TWIN",0.196400980041479,"high","middle","LEFT",-0.679315400858554,0.0669813670765832
"4228",-0.00723388443006239,-0.0581381627375203,"C5_20210125_091220_C_Twin-13.mp4",-0.208237868465564,"Moses Perch",0.348126923151066,"C5_20210125_091220_C_Twin-13.mp4_168",-0.796396933677814,-1.06022074226944,1.71016860008488,-0.566130267383654,-0.565382270808271,"TWIN",0.196400980041479,"high","far","LEFT",1.33296472828004,2.19534611919226
"4229",-0.00685892949107356,-0.0580781981855237,"C5_20210125_091220_C_Twin-13.mp4",-0.208222746793128,"Moses Perch",0.445994360255948,"C5_20210125_091220_C_Twin-13.mp4_168",-0.796396933677814,-1.06394008301712,1.70941443325774,-0.613576141516293,-0.614108146471617,"TWIN",0.196400980041479,"high","far","LEFT",1.33296472828004,2.19534611919226
"4230",-0.00660895953174767,-0.058038221817526,"C5_20210125_091220_C_Twin-13.mp4",-0.208215129108516,"Moses Perch",0.464695766007246,"C5_20210125_091220_C_Twin-13.mp4_168",-0.796396933677814,-1.0436903389464,1.69093734599297,-0.512395124532457,-0.510197453641663,"TWIN",0.196400980041479,"high","far","LEFT",1.33296472828004,2.19534611919226
"4231",-0.00635898957242179,-0.0579982454495283,"C5_20210125_091220_C_Twin-13.mp4",-0.208207511423911,"Moses Perch",0.624327169429575,"C5_20210125_091220_C_Twin-13.mp4_168",-0.796396933677814,-1.06848594393095,1.68151026065381,-0.656705939983804,-0.658401506767562,"TWIN",0.196400980041479,"high","far","LEFT",1.33296472828004,2.19534611919226
"4232",-0.0061090196130959,-0.0579582690815306,"C5_20210125_091220_C_Twin-13.mp4",-0.2081998937393,"Moses Perch",0.664905227758187,"C5_20210125_091220_C_Twin-13.mp4_168",-0.796396933677814,-1.07261854476171,1.66831234117897,-0.589875409961248,-0.589768013214654,"TWIN",0.196400980041479,"high","far","LEFT",1.33296472828004,2.19534611919226
"4233",-0.00585904965377002,-0.0579182927135329,"C5_20210125_091220_C_Twin-13.mp4",-0.208192389751476,"Moses Perch",0.763225136918221,"C5_20210125_091220_C_Twin-13.mp4_168",-0.796396933677814,-1.07055224434633,1.64606441977854,-0.485905176791872,-0.477707428047655,"TWIN",0.196400980041479,"high","far","LEFT",1.33296472828004,2.19534611919226
